name,zip,lat,lng,mapsurl
Brussel,1000,50.8427501,4.3515499,"http://maps.google.com/maps?q=50.8427501,4.351549900000009"
Brusselse Hoofdstedelijke Raad,1005,50.8448768,4.3514335,"http://maps.google.com/maps?q=50.84487679999999,4.351433499999985"
Chambre des Représentants,1008,50.8465568,4.3646622,"http://maps.google.com/maps?q=50.84655679999999,4.364662199999998"
Senat de Belgique,1009,50.79834,4.39565,"http://maps.google.com/maps?q=50.79834,4.395649999999932"
Rijksadministratief Centrum,1010,50.8243276,4.5139543,"http://maps.google.com/maps?q=50.8243276,4.513954300000023"
Parlement de la Communauté française,1012,50.8466387,4.3619924,"http://maps.google.com/maps?q=50.8466387,4.361992399999963"
Brussel (Laken),1020,50.884218,4.3580002,"http://maps.google.com/maps?q=50.884218,4.358000199999992"
Brussel (Schaarbeek),1030,50.86744,4.37727,"http://maps.google.com/maps?q=50.86743999999999,4.377269999999953"
Brussel (Etterbeek),1040,50.832177,4.388949,"http://maps.google.com/maps?q=50.83217699999999,4.388949000000025"
VRT,1043,50.8530691,4.4043556,"http://maps.google.com/maps?q=50.8530691,4.404355600000031"
RTBF,1044,50.85079,4.402889,"http://maps.google.com/maps?q=50.85079,4.402888999999959"
D.I.V.,1045,50.8581573,4.3599077,"http://maps.google.com/maps?q=50.85815729999999,4.359907700000008"
Europees Parlement,1047,50.8388665,4.3749766,"http://maps.google.com/maps?q=50.83886649999999,4.374976599999968"
E.U.-Raad,1048,50.847857,4.367408,"http://maps.google.com/maps?q=50.847857,4.367408000000069"
E.U.-Commissie,1049,50.83862,4.35023,"http://maps.google.com/maps?q=50.83862,4.3502300000000105"
Brussel (Elsene),1050,50.8333333,4.3666667,"http://maps.google.com/maps?q=50.8333333,4.366666699999996"
Brussel (Sint-Gillis),1060,50.8301436,4.3402184,"http://maps.google.com/maps?q=50.8301436,4.340218400000026"
Anderlecht,1070,50.8365808,4.308187,"http://maps.google.com/maps?q=50.8365808,4.308186999999975"
Brussel (Sint-Jans-Molenbeek),1080,50.85,4.3166667,"http://maps.google.com/maps?q=50.84999999999999,4.316666700000042"
Brussel (Koekelberg),1081,50.859029,4.330334,"http://maps.google.com/maps?q=50.859029,4.3303339999999935"
Berchem-Sainte-Agathe,1082,50.865341,4.295748,"http://maps.google.com/maps?q=50.865341,4.295748000000003"
Brussel (Ganshoren),1083,50.87113,4.30253,"http://maps.google.com/maps?q=50.87113,4.302529999999933"
Brussel (Jette),1090,50.8730556,4.3338889,"http://maps.google.com/maps?q=50.8730556,4.333888900000034"
Postcheque,1100,50.81349,4.3844,"http://maps.google.com/maps?q=50.81348999999999,4.384400000000028"
SOC,1105,50.0107,5.73572,"http://maps.google.com/maps?q=50.0107,5.735720000000015"
NAVO - NATO,1110,50.8762831,4.4219707,"http://maps.google.com/maps?q=50.87628309999999,4.421970699999974"
Brussel (Neder-Over-Heembeek),1120,50.905667,4.396911,"http://maps.google.com/maps?q=50.905667,4.3969110000000455"
Brussel (Haren),1130,50.89562,4.41675,"http://maps.google.com/maps?q=50.89562000000001,4.416749999999979"
Brussel (Evere),1140,50.8666667,4.4,"http://maps.google.com/maps?q=50.8666667,4.399999999999977"
